"ser_id";"ser_nameshort";"ser_comment";"sam_samplingtype";"ser_uni_code";"type"
214;"FremY";"Between twenty and thirty stations were sampled on the Frémur River every year. Sampling stations are sampled using two or three pass electrofishing surveys. | electrofishing on stations ; mean density; a change was made in 2006 in the sampling (from 2 passages by station to 1 passage by station) but an intercalibration was made and this change is taking into account to estimate densities";"NA";"nr/m2";"electrofishing"
306;"AdoY";"Between 2 and 19 were sampled on the Adour basin every year. Sampling stations are sampled using two or three pass electrofishing surveys. |or Punctual Abundance sampling method.. | electrofishing ; | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect";"NA";"index";"electrofishing"
301;"OrnY";"The Orne river is sampled every year by electrofishing using a specific Eel Abundance Index (EAI). The EAI is an electrofishing method derived from the Punctual Abundance sampling method. Thirty electrofishing points of 30 seconds are made by sampling station. The points distribution depends on the configuration of the sampled station. For more information see https://www6.inra.fr/diapfc/content/download/3659/36581/file/Livret%20indice%20anguille.pdf | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 5 and 17 sampling sites were sampled each year";"NA";"index";"electrofishing"
302;"SciY";"The Scie river is sampled every year by electrofishing using a specific Eel Abundance Index (EAI) except in 2012. The EAI is an electrofishing method derived from the Punctual Abundance sampling method. Thirty electrofishing points of 30 seconds are made by sampling station. The points distribution depends on the configuration of the sampled station. For more information see https://www6.inra.fr/diapfc/content/download/3659/36581/file/Livret%20indice%20anguille.pdf | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 3 and 4 sampling sites were sampled each year";"NA";"index";"electrofishing"
303;"TouY";"The Touques river is sampled every year by electrofishing using a specific Eel Abundance Index (EAI) except in 2012, 2014 and 2015. The EAI is an electrofishing method derived from the Punctual Abundance sampling method. Thirty electrofishing points of 30 seconds are made by sampling station. The points distribution depends on the configuration of the sampled station. For more information see https://www6.inra.fr/diapfc/content/download/3659/36581/file/Livret%20indice%20anguille.pdf | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 3 and 24 sampling sites were sampled each year";"NA";"index";"electrofishing"
304;"VirY";"The Vire river is sampled every year by electrofishing using a specific Eel Abundance Index (EAI). The EAI is an electrofishing method derived from the Punctual Abundance sampling method. Thirty electrofishing points of 30 seconds are made by sampling station. The points distribution depends on the configuration of the sampled station. For more information see https://www6.inra.fr/diapfc/content/download/3659/36581/file/Livret%20indice%20anguille.pdf | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 5 and 17 sampling sites were sampled each year";"NA";"index";"electrofishing"
305;"YerY";"The Yeres river is sampled every year by electrofishing using a specific Eel Abundance Index (EAI) except in 2012. The EAI is an electrofishing method derived from the Punctual Abundance sampling method. Thirty electrofishing points of 30 seconds are made by sampling station. The points distribution depends on the configuration of the sampled station. For more information see https://www6.inra.fr/diapfc/content/download/3659/36581/file/Livret%20indice%20anguille.pdf | a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 3 and 4 sampling sites were sampled each year";"NA";"index";"electrofishing"
213;"BreY";"The Bresle river is sampled every year by electrofishing using a specific Eel Abundance Index (EAI). The EAI is an electrofishing method derived from the Punctual Abundance sampling method. Thirty electrofishing points of 30 seconds are made by sampling station. The points distribution depends on the configuration of the sampled station. For more information see https://www6.inra.fr/diapfc/content/download/3659/36581/file/Livret%20indice%20anguille.pdf |  a delta_gamma model was used to estimate an index every year using a sampling site, a year and method effect | Between 9 and 15 sampling sites were sampled each year";"NA";"index";"electrofishing"
229;"KilS";"The Killaloe silver eel indices is located on the outflow of Lough Derg on the River Shannon. The river Shannon is spanned by a bridge at this point, and a silver eel fishing weir is attached to the downstream side of the bridge | trap and transport fishing site on River Shannon ; coghill nets";"scientific estimate";"kg";"net"
230;"BurS";"Annual Silver eel catch in the Burrishoole fish traps. | full trap";"trapping all";"nr";"trap"
224;"VilS";"At Arzal dam | partial monitoring of one gate, with a model reconstructing the total migration";"trapping partial";"nr";"counter"
240;"VisY";"2 Fyke nets with reduced selectivity. Mesh size 6mm. Soaking time from May to october. Series influenced by restocking, so data indicate local abundance not EMU level | 2 fyke nets";"NA";"nr";"fyke net"
339;"VistY";"A Pilot Study was implemented in Lake Vistonida in order to estimate the size of the standing population (yellow eels). 20 fyke nets were placed in different stations in random areas of the lake. The samplings took place from April to July and from September until October. Every 5 to 7 days the fyke nets were checked";"trapping partial";"kg";"fyke net"
258;"DeeY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys that had length and weight measured. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided or length/weight measured. | Index river estimate of eel density from pooled data taken from all the surveys conducted in that river that year";"NA";"nr/m2";"net"
340;"NorwS";"Silver eel were caught in the permanent installed fish traps in the entrance of the lagoons of EMU1. The traps are managed by local Fishing Cooperatives";"commercial catch";"kg";"trap"
341;"WepeS";"Silver eel were caught in the permanent installed fish traps in the entrance of the lagoons of EMU2. The traps are managed by local Fishing Cooperatives";"commercial catch";"kg";"trap"
342;"EamtS";"Silver eel were caught in the permanent installed fish traps in the entrance of the lagoons of EMU3. The traps are managed by local Fishing Cooperatives";"commercial catch";"kg";"trap"
167;"DoFpY";"Mueritz-Elde-Wasserstrasse elver monitoring, no data for 2009, 2013 incomplete. Effort was documented but data has not been processed, so it is not given in the data sheet; Yet, it can be obtained from the contact person.";"trapping partial";"nr";"trap"
210;"WarS";"Stow net system (Hamen), 10 mm mesh size, operated from March/April to December/January depending on frost, monitored twice per week, silver eel catch rate repeatedly evaluated (mean: 11,1 %)
 yearly estimate is a Petersen-Lincoln projection of total escapement (nr), for details pls. refer to Reckordt et al. 2013, doi: 10.1111/eff.12080) | silver eel catch rate evaluated: 11,1 %";"scientific estimate";"nr";"stow net"
290;"WerY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
291;"WevY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing/net"
253;"BelY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
254;"BoEY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
255;"ChBY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mostly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing/net"
257;"CoqY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
259;"DerY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
260;"DoSY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
261;"EdeY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
262;"EllY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
263;"ExeY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
343;"AlCS";"Ctaches declared in the fishemen associations in the Albufera. Eel fishery in the Albufera has its own regulation and two types of fishing are considered: the fixed place fishing (named “redolins”) and the traveling fishing.";"NA";"kg";"net"
264;"FowY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
265;"FroY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
266;"GrOY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing/net"
200;"BI1S";"NA";"NA";"index";"bottom trawl"
199;"BI4S";"NA";"NA";"index";"bottom trawl"
267;"HaAY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
268;"HumY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
198;"NSIS";"data from 1978 to 1987 show a false positive trend and were not included there. At that time collecting data for all species was not mandatory / North Sea International Bottom trawl survey (1st quarter)";"NA";"index";"bottom trawl"
269;"ItcY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
270;"LeeY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
271;"MedY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
272;"MerY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
273;"NenY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
274;"OttY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
275;"OusY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
276;"ParY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
277;"PlyY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
278;"RibY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
279;"SevY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
280;"SuSY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
281;"TamY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
282;"TawY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
283;"TefY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys that had length and weight measured. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided or length/weight measured. | Index river estimate of eel density from pooled data taken from all the surveys conducted in that river that year";"NA";"nr/m2";"net"
284;"TegY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
285;"TesY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
286;"ThaY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (mainly electrofishing and some seine netting) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
287;"TyTY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys that had length and weight measured. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided or length/weight measured. | Index river estimate of eel density from pooled data taken from all the surveys conducted in that river that year";"NA";"nr/m2";"net"
288;"TweY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
289;"UskY";"Index river estimates of eel density per year from pooled data taken from all quantitative surveys (all electrofishing) in that river. Any surveys that have 'Not recorded' as catch or sample method are excluded, as are all fyke net or other fixed instrument data and data with no area of fishing provided.";"NA";"nr/m2";"electrofishing"
248;"BadY";"Electrofishing, three pass. 3 sites on the Baddoch Burn, a tributary of the River Dee, GB_Scot | electrofishing at 3 sites, mean density";"NA";"nr/m2";"electrofishing"
247;"GirY";"Electrofishing, three pass. 8 sites on the Girnock Burn, a tributary of the River Dee. GB_Scot | electrofishing at 8 sites, mean density";"NA";"nr/m2";"electrofishing"
249;"ShiY";"Electrofishing, three pass. 12 sites on the River Shieldaig, GB_Scot | electrofishing at 12 sites, mean density";"NA";"nr/m2";"electrofishing"
192;"VVeY";"Electrofishing / On the west coast of Jutland no passive trapping facilities are available. Here the recruitment is monitored in Vester Vedsted brook using an annual population surveys (electro fishing four sections 3 times a year) in a small brook by the Wadden Sea. Further details in Pedersen (2002)";"NA";"nr/m2";"electrofishing"
344;"KreY";"longline with 250 hook";"NA";"nr";"longline"
345;"UkoY";"longline with 250 hook";"NA";"nr";"longline"
346;"ClY";"used 12 mm mesh size traps";"NA";"nr";"trap"
349;"SiesS";"NA";"NA";"nr";"trap"
350;"AlauS";"0 caches in 6 days in October";"NA";"nr";"trap"
351;"KertS";"0 caches in 6 days in October";"NA";"nr";"trap"
352;"LakS";"45 eels were caught. 24 of which were in the silver stage";"NA";"nr";"trap"
348;"ClS";"NA";"NA";"nr";"Trap ?"
239;"SkaY";"This is a beach seine survey including about 100 stations. See Durif et al. 2010. https://fishlarvae.org/common/SiteMedia/durif%20_et_al%202010.pdf | about 100 stations ; nb of eels per haul (beach seine)";"NA";"nr/haul";"beach seine"
237;"BRWS";"Fyke data. Fishermen are collecting data at the main entrence and exit points of silver eel | fyke net survey in autumn, location is approximate";"NA";"index";"fyke net"
236;"HVWS";"Fyke data. Fishermen are collecting data at the main entrence and exit points of silver eel | fyke net survey in autumn, location is approximate";"NA";"index";"fyke net"
233;"IjsS";"Fyke data. Fishermen are collecting data at the main entrence and exit points of silver eel | fyke net survey in autumn, location is approximate";"NA";"index";"fyke net"
234;"NiWS";"Fyke data. Fishermen are collecting data at the main entrence and exit points of silver eel | fyke net survey in autumn, location is approximate";"NA";"index";"fyke net"
235;"NZKS";"Fyke data. Fishermen are collecting data at the main entrence and exit points of silver eel | fyke net survey in autumn, location is approximate";"NA";"index";"fyke net"
238;"ZMaS";"Fyke data. Fishermen are collecting data at the main entrence and exit points of silver eel | fyke net survey in autumn, location is approximate";"NA";"index";"fyke net"
197;"PanS";"NA";"NA";"index";"bottom trawl"
196;"ImsaS";"The trap catches every eel coming down";"trapping all";"nr";"trap"
242;"MinY";"Electric fishing conducted in River Minho tributaries in spring and autumn. | electrofishing on 15 stations ; mean density";"NA";"nr/m2";"electrofishing"
241;"MonY";"Electric fishing conducted in Mondego river and in its tributaries in spring and autumn each year. Data collection is being done under the Euroepan DCF (Data Collection Framework). | electrofishing on 20 stations ; mean density";"NA";"nr/m2";"electrofishing"
211;"RibS";"This data seieres is a measure of the annual silver eel production from river Ribe. The estimate is obtained from a commecial eel fishery situated in the lower part of River Ribe. During automn a tag recaprture experimnet is done. Numbers recaptured by the fishery provide fishing efficiency and together with total catch the silver eel poroduction/output is estimated. | scientific estimate";"NA";"kg/ha";"net"
212;"OriY";"Double-pass electric fishing sampling without replacement, using the SEBER and LECREN method (1967), based on the successive catches of DE LURY (1947). The estimation of eel abundance is calculated using the aritmetic mean of 2 sampling points . For the biometries the aritmetic mean of all the eels in both stations haa been used.";"NA";"nr/m2";"electrofishing"
244;"MinS";"Electric fishing conducted in River Minho tributaries | Mean densities in River Minho tributaries";"NA";"nr/m2";"electrofishing"
243;"MonS";"Electric fishing conducted in Mondego river and in its tributaries in the autumn. Sampling is being done under the European DCF (Data Collection Framework) | The mean densities in the Mondego river (20 stations)";"NA";"nr/m2";"electrofishing"
215;"GarY";"The Garonne River is sampled using a 3 year electrofishing alternated sampling network (~30 stations in total). Sampling stations are sampled using two or three pass electrofishing surveys. | electrofishing ; mean density, all the stations were sampled in a 3 year cycle";"NA";"nr/m2";"electrofishing"
245;"NkaS";"Catch per unit of effort for silver eel, and total annual fishing effort, in fisheries with (small) fykenets in a coastal area (Marsö) in the central Baltic. | Series from a fyke net fishery expressed as nos per net and day";"scientific estimate";"index";"fyke net"
219;"VilY";"18-19 stations were sampled on the Vilaine basin every year. Sampling stations are sampled using two or three pass electrofishing surveys. | electrofishing on 18-19 stations ; mean density";"NA";"nr/m2";"electrofishing"
362;"FjaY";"Fisheries-independent catch-per-unit-effort. Number per fyke net and night.";"trapping all";"nr";"fyke net"
246;"SosS";"Catch per unit of effort for silver eel, and total annual fishing effort, in fisheries with (small) fykenets in a coastal area (Kvädöfjärden) in the central Baltic. | Series from a fyke net fishery expressed as nos per net and day";"scientific estimate";"nr";"fyke net"
250;"KilY";"Killough (effort 4 nights of 5 fyke nets per night). | fyke net survey";"NA";"nr";"fyke net"
251;"LagY";"Lagan River (effort 4 nights of 20 fyke nets per night ). | fyke net survey";"NA";"nr";"fyke net"
252;"LoEY";"Lower Lough erne (4 nights of 30 fyke nets per night) set in the same location over repeated bi-ennial survey periods. Total number of eels caught is used to calculate CPUE index for annual compariosn following closure of commercila yellow eel fishery in 2010. | fyke net survey";"NA";"index";"fyke net"
363;"LysY";"Fisheries-independent catch-per-unit-effort. Number per fyke net and night.";"trapping all";"nr";"fyke net"
364;"HakY";"Fisheries-independent catch-per-unit-effort. Number per fyke net and night.";"trapping all";"nr";"fyke net"
365;"VenY";"Fisheries-independent catch-per-unit-effort. Number per fyke net and night.";"trapping all";"nr";"fyke net"
366;"KulY";"Fisheries-independent catch-per-unit-effort. Number per fyke net and night.";"trapping all";"nr";"fyke net"
367;"BarY";"Fisheries-independent catch-per-unit-effort. Number per fyke net and night.";"trapping all";"nr";"fyke net"
353;"LilY";"Descending yellow eel are caught in one fyke net, silvering stage determined according to Durif et al. (2009), eels tagged with Carlin tags or T-bars, monitoring organised from begining of april till end of october";"NA";"nr";"fyke net"
354;"DaugY";"Descending yellow eel are caught in 4 fyke nets, silvering stage determined according to Durif et al. (2009), eels tagged with Carlin tags or T-bars, monitoring organised from begining of april till end of november";"NA";"nr";"fyke net"
